season,week,date,time_et,game_type,away,home,rank_away,rank_home,conf_away,conf_home,neutral,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,first_downs_away,first_downs_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,total_yards_away,total_yards_home,fum_away,fum_home,int_away,int_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,possession_away,possession_home,attendance,tv
2002,1,2002-08-22,7:30 PM,regular,Colorado State,Virginia,,,mwc,acc,False,35,29,6,13,3,13,0,0,7,14,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57120,
2002,1,2002-08-23,8:00 PM,regular,Fresno State,Wisconsin,,25,wac,big10,False,21,23,7,0,7,7,0,0,10,7,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75136,
2002,1,2002-08-24,2:30 PM,regular,Texas Tech,Ohio State,,13,big12,big10,False,21,45,7,0,0,14,0,14,7,17,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100037,
2002,1,2002-08-24,4:30 PM,regular,New Mexico,NC State,,,mwc,acc,False,14,34,0,0,7,7,0,7,14,6,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47018,
2002,1,2002-08-24,7:45 PM,regular,Arizona State,Nebraska,,10,pac12,big12,False,10,48,3,0,7,0,0,3,7,14,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77779,
2002,1,2002-08-24,8:30 PM,regular,Florida State,Iowa State,3,,acc,big12,False,38,31,17,14,0,7,0,0,14,3,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55132,
2002,1,2002-08-25,2:30 PM,regular,Arkansas State,Virginia Tech,,16,sun-belt,big-east,False,7,63,0,0,7,0,0,35,21,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54016,
2002,2,2002-08-29,7:00 PM,regular,Cal Poly SLO,Toledo,,,,mac,False,16,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23074,
2002,2,2002-08-29,7:00 PM,regular,New Hampshire,Kent State,,,,mac,False,7,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16073,
2002,2,2002-08-29,7:00 PM,regular,Richmond,Temple,,,,big-east,False,7,34,7,0,0,0,0,3,10,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15329,
2002,2,2002-08-29,7:00 PM,regular,Florida Atlantic,USF,,,,ind,False,10,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22074,
2002,2,2002-08-29,7:00 PM,regular,Tennessee Tech,Bowling Green,,,,mac,False,7,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15696,
2002,2,2002-08-29,7:30 PM,regular,Syracuse,BYU,,,big-east,mwc,False,21,42,7,7,7,0,0,7,14,6,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65612,
2002,2,2002-08-29,7:30 PM,regular,Lehigh,Buffalo,,,,mac,False,37,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21103,
2002,2,2002-08-29,7:30 PM,regular,Sam Houston State,Central Michigan,,,,mac,False,10,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18826,
2002,2,2002-08-29,7:30 PM,regular,Indiana State,Western Michigan,,,,mac,False,17,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28268,
2002,2,2002-08-29,7:35 PM,regular,Wake Forest,Northern Illinois,,,acc,mac,False,41,42,14,7,14,0,6,7,10,7,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19653,
2002,2,2002-08-29,10:00 PM,regular,Eastern Kentucky,Oregon State,,,,pac12,False,10,49,7,3,0,0,0,14,21,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2,2002-08-29,10:00 PM,regular,San Diego State,Fresno State,,,mwc,wac,False,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39111,
2002,2,2002-08-30,8:00 PM,regular,Oklahoma,Tulsa,1,,big12,wac,False,37,0,3,0,14,20,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40385,
2002,2,2002-08-31,12:00 PM,regular,Northwestern,Air Force,,,big10,mwc,False,3,52,0,0,3,0,0,14,24,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45114,
2002,2,2002-08-31,12:00 PM,regular,Connecticut,Boston College,,,ind,big-east,False,16,24,6,10,0,0,0,0,10,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40066,
2002,2,2002-08-31,12:00 PM,regular,Washington,Michigan,11,13,pac12,big10,False,29,31,0,13,10,6,0,7,7,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111491,
2002,2,2002-08-31,12:00 PM,regular,Akron,Iowa,,,mac,big10,False,21,57,0,14,7,0,0,37,14,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51495,
2002,2,2002-08-31,12:10 PM,regular,UCF,Penn State,,24,mac,big10,False,24,27,3,6,0,15,0,10,0,10,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2,2002-08-31,12:30 PM,regular,Kansas,Iowa State,,,big12,big12,False,3,45,0,0,3,0,0,10,7,7,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40026,
2002,2,2002-08-31,12:30 PM,regular,Middle Tennessee,Alabama,,,sun-belt,sec,False,34,39,0,11,3,20,0,22,0,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80091,
2002,2,2002-08-31,1:00 PM,regular,Colorado State,Colorado,,7,mwc,big12,False,19,14,7,6,0,6,0,0,0,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75531,
2002,2,2002-08-31,1:30 PM,regular,Miami (OH),North Carolina,,,mac,acc,False,27,21,7,6,7,7,0,7,0,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000,
2002,2,2002-08-31,2:00 PM,regular,Illinois State,Purdue,,,,big10,False,10,51,0,0,10,0,0,20,10,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47701,
2002,2,2002-08-31,3:00 PM,regular,Nevada,Washington State,,12,wac,pac12,False,7,31,7,0,0,0,0,0,14,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63588,
2002,2,2002-08-31,3:30 PM,regular,Baylor,California,,,big12,pac12,False,22,70,7,0,8,7,0,35,14,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27185,
2002,2,2002-08-31,3:30 PM,regular,Eastern Michigan,Michigan State,,18,mac,big10,False,7,56,0,0,0,7,0,7,21,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73927,
2002,2,2002-08-31,3:30 PM,regular,Southern,Tulane,,,,cusa,False,19,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
